,Air Fry,Convection,Griddle,Self Clean,Smart enabled,Steam Clean,WiFi
67,0,0,1,0,0,1,0
68,0,0,1,0,0,0,0
69,0,0,1,1,1,0,0
70,0,0,1,0,1,0,0
71,0,0,1,0,1,1,1
72,0,0,1,0,0,0,0
73,1,1,1,1,1,0,0
74,0,1,0,0,0,0,1
75,1,0,1,0,0,1,1
76,0,1,0,0,1,0,0
77,1,1,1,1,1,1,1
78,1,0,1,0,1,1,0
79,0,0,1,0,0,1,0
80,0,1,0,1,1,0,1
81,1,1,0,1,0,0,0
82,0,0,0,1,0,0,1
83,1,1,1,0,1,1,1
84,1,0,1,0,1,0,1
85,1,1,0,0,0,1,1
86,1,0,0,0,0,1,0
87,0,1,1,0,1,0,1
88,0,1,1,1,1,0,0
89,0,1,0,1,0,1,1
90,0,0,0,0,0,0,1
91,1,1,1,0,0,0,0
92,0,1,1,0,0,0,0
93,0,0,0,0,0,1,0
94,0,0,1,1,1,1,1
95,1,1,1,0,1,1,1
96,0,1,0,1,1,0,1
97,1,1,1,1,1,1,1
98,0,0,0,1,1,1,1
99,0,1,1,1,0,1,1
100,0,1,1,1,1,1,1
101,1,1,1,0,1,0,1
102,0,0,0,1,1,0,0
103,1,0,0,1,1,0,1
104,0,1,0,1,0,1,1
105,0,1,0,1,1,0,0
106,1,1,0,0,1,1,0
107,0,1,0,1,1,1,0
108,0,1,1,0,0,0,0
109,0,0,0,1,1,0,0
110,1,0,1,0,0,1,0
111,1,1,1,1,1,0,0
112,1,1,0,0,0,0,1
113,1,1,1,0,0,1,1
114,1,0,0,0,1,0,1
115,0,1,1,1,1,1,0
116,1,0,0,1,0,1,1
117,1,1,1,0,0,1,1
118,0,0,0,0,0,1,1
119,0,0,0,1,1,0,1
120,0,1,1,0,0,0,0
121,0,0,0,1,1,0,0
122,0,0,1,0,0,0,1
123,1,1,0,0,0,0,0
124,0,0,1,0,1,0,0
125,1,1,0,0,0,1,0
126,1,1,1,0,0,1,0
127,1,0,0,1,0,1,0
128,1,0,1,1,0,0,0
129,1,1,1,0,0,1,1
130,1,1,0,0,0,1,1
131,0,1,1,1,0,1,1
132,0,1,0,0,1,0,1
133,1,0,0,1,0,1,0
134,1,1,1,0,0,0,1
135,1,1,1,0,0,1,0
136,1,1,1,1,1,1,1
137,0,0,1,0,1,1,0
138,1,1,1,0,1,0,0
139,1,0,0,1,0,0,0
140,1,1,1,1,1,1,1
141,1,1,0,1,0,0,1
142,1,1,1,0,1,1,0
143,0,0,1,0,1,0,0
144,0,0,0,1,0,1,1
145,1,1,0,0,1,1,1
146,1,0,1,0,0,1,0
147,0,1,1,0,0,1,1
148,0,0,0,0,0,1,1
149,0,1,0,0,1,1,0
150,0,1,0,0,1,0,1
151,0,0,1,0,0,0,1
152,1,0,0,1,1,0,1
153,0,0,1,0,1,1,0
154,1,0,0,0,0,1,0
155,0,1,0,1,0,1,1
156,1,0,1,0,1,0,1
157,1,1,1,1,1,1,1
158,1,1,1,0,1,1,0
159,1,0,1,1,1,0,0
160,1,0,0,0,1,0,1
161,1,0,1,0,1,0,1
162,0,0,0,1,0,1,0
163,1,1,1,1,1,1,1
164,1,1,0,0,1,0,1
165,0,1,0,0,1,1,0
166,0,1,0,1,1,0,0
167,1,0,0,1,0,1,1
168,0,0,0,0,1,1,1
169,1,1,0,1,0,0,0
170,1,1,1,0,1,0,0
171,0,1,0,1,0,0,0
172,1,1,0,1,1,1,1
173,0,0,0,1,1,0,1
174,1,1,1,0,1,0,0
175,0,1,1,1,0,0,0
176,1,0,0,0,1,1,1
177,0,0,1,0,1,0,1
178,0,1,0,0,0,1,0
179,0,0,0,0,0,1,0
180,0,1,1,1,0,1,0
181,0,0,0,1,1,1,1
182,0,0,0,1,0,0,1
183,0,1,0,1,1,1,0
184,1,1,0,1,0,0,0
185,1,1,0,1,0,1,1
186,1,1,1,1,0,0,0
187,1,0,1,0,1,1,1
188,1,0,0,1,1,1,1
189,0,1,1,1,1,1,0
190,0,0,1,0,1,0,0
191,1,0,1,1,1,0,0
192,0,1,0,1,0,0,1
193,0,1,0,0,0,0,1
194,0,1,0,0,0,0,0
195,0,0,1,1,0,1,1
196,1,1,1,0,1,1,0
197,0,1,1,1,1,1,1
198,1,1,0,0,0,1,1
199,0,1,1,1,1,1,0
200,1,1,0,1,0,0,1
201,0,0,0,0,0,1,1
202,1,1,1,1,0,0,1
203,1,1,0,1,1,0,0
204,0,1,1,0,1,1,1
205,1,1,0,1,0,1,0
206,1,0,0,0,0,0,1
207,0,0,0,0,1,0,1
208,0,1,0,0,0,1,0
209,0,0,0,1,0,1,0
210,1,1,1,1,1,1,1
211,1,0,1,0,0,0,0
212,0,1,1,0,0,0,0
213,1,0,0,0,0,0,0
214,0,1,1,0,1,1,1
215,0,0,1,1,0,1,1
216,0,0,1,0,0,1,0
217,1,1,1,1,1,1,1
218,1,0,0,0,1,1,1
219,1,0,0,1,0,1,0
220,1,1,1,0,0,0,0
221,1,0,1,1,0,1,0
222,1,0,0,1,1,0,1
223,0,0,1,1,1,1,0
224,1,0,1,0,1,0,1
225,1,0,0,0,1,1,1
226,1,1,0,1,0,0,0
227,1,0,1,1,0,1,0
228,1,0,0,0,1,0,0
229,1,0,1,1,1,1,1
230,0,1,1,0,1,0,0
231,0,0,0,0,1,1,1
232,1,1,1,1,1,0,1
233,0,1,1,0,1,0,1
234,1,1,0,1,1,0,1
235,0,0,0,1,1,0,0
236,1,1,1,1,1,1,1
237,0,0,1,1,0,1,1
238,1,1,0,0,0,0,0
239,0,0,1,1,0,0,1
240,1,1,0,0,0,0,1
241,1,0,1,0,0,1,1
242,1,1,1,1,0,1,1
243,0,1,1,1,1,0,1
244,0,0,1,0,0,0,0
245,1,0,0,1,0,0,1
246,1,0,1,0,0,0,0
247,0,1,1,0,1,0,0
248,0,0,1,0,0,0,0
249,1,0,0,1,1,1,1
250,1,1,1,0,1,0,0
251,1,1,0,1,1,1,0
252,1,1,1,0,1,1,0
253,1,0,0,0,1,0,1
254,1,1,1,1,0,1,0
255,1,1,1,1,0,0,0
256,1,1,1,1,1,1,1
257,0,1,1,1,1,1,0
258,1,1,1,1,1,1,1
259,0,1,0,0,0,1,0
260,1,0,1,0,0,0,1
261,1,0,1,1,0,1,1
262,0,1,1,1,1,0,0
263,0,0,1,0,0,1,1
264,1,1,1,1,1,1,1
265,0,0,0,0,1,1,1
266,1,1,0,0,0,1,1
267,1,1,1,1,1,1,0
268,1,0,0,0,0,0,1
269,1,1,1,1,1,1,1
270,1,1,1,1,1,1,1
271,1,1,1,1,1,1,1
272,0,1,1,1,1,0,1
273,0,1,1,0,0,1,1
274,0,0,1,0,1,1,0
275,1,0,0,0,0,0,0
276,0,1,0,0,0,0,0
277,0,1,1,0,0,0,0
278,1,1,1,1,1,1,1
279,1,0,0,0,0,1,0
280,1,0,1,1,1,0,1
281,1,1,1,0,1,0,1
282,0,1,1,0,0,0,0
283,0,1,1,1,1,1,1
284,1,1,1,1,1,1,1
285,1,1,1,0,1,0,1
286,0,1,1,1,0,0,0
287,1,0,1,0,1,1,1
288,1,0,1,1,0,1,1
289,0,0,0,1,1,0,0
290,0,0,1,1,0,1,0
291,0,0,0,1,0,0,1
292,0,1,0,0,1,0,1
293,1,0,0,1,1,1,0
294,0,0,1,0,1,0,1
295,1,1,1,1,1,1,1
296,0,1,1,0,0,0,0
297,1,0,1,1,1,1,1
298,0,0,1,1,1,0,1
299,1,0,1,1,0,0,1
300,1,1,1,1,1,1,1
301,1,1,1,1,0,1,1
302,0,0,1,0,1,0,0
303,1,0,0,0,0,1,1
304,0,0,1,0,0,1,0
305,0,1,1,1,0,1,0
306,1,1,1,1,0,0,0
307,1,0,1,0,0,0,1
308,1,1,1,1,1,1,1
309,0,1,0,1,0,0,1
310,0,0,1,1,0,1,0
311,1,0,0,0,0,0,1
312,1,1,0,1,0,0,0
313,0,1,0,1,0,0,0
314,1,0,1,0,1,0,0
315,0,1,0,0,1,0,0
316,1,1,1,1,1,1,1
317,1,1,1,1,1,1,1
318,1,1,0,1,1,1,0
319,1,1,0,1,0,1,0
320,0,1,0,0,0,1,0
321,1,1,1,1,1,1,1
322,0,1,0,1,0,0,1
323,1,1,0,0,1,1,0
324,1,0,1,0,0,1,0
325,0,1,1,0,1,0,1
326,0,0,0,1,1,0,1
327,0,0,1,1,0,1,1
328,1,1,0,1,1,0,1
329,1,0,0,0,1,1,0
330,1,1,1,1,1,1,1
331,1,1,1,1,1,0,1
332,1,1,1,1,1,1,1
333,1,1,0,0,1,0,0
334,0,1,1,1,0,0,1
335,0,0,1,1,1,1,1
336,1,1,0,1,1,1,1
337,1,1,1,0,0,0,0
338,0,0,0,1,1,1,1
339,1,0,1,1,1,0,0
340,0,1,0,0,0,1,0
341,0,1,0,1,1,1,1
342,0,1,1,0,0,0,0
343,0,0,1,1,1,0,1
344,0,0,1,0,1,0,0
345,0,0,1,0,0,0,1
346,0,0,0,0,1,1,1
347,0,1,0,0,0,0,0
348,1,1,1,1,1,1,1
349,1,0,0,0,0,0,0
350,1,0,0,1,0,1,0
351,1,1,1,0,0,1,0
352,0,0,0,1,1,0,0
353,1,1,1,1,1,1,1
354,1,0,1,1,0,0,1
355,1,0,1,1,0,1,1
356,0,0,0,1,0,0,1
357,1,0,0,0,0,0,0
358,0,0,1,0,0,1,1
359,0,1,1,1,1,1,1
360,1,1,0,0,1,0,1
361,0,0,1,0,0,1,1
362,0,1,1,0,0,1,0
363,0,1,0,1,1,0,1
364,0,1,1,0,1,0,1
365,0,0,1,1,1,1,1
366,0,0,1,0,0,1,1
367,0,0,1,1,0,0,0
368,1,1,0,1,1,0,0
369,0,1,1,1,0,1,0
370,0,1,1,0,0,0,0
371,0,0,1,0,1,1,0
372,1,1,0,0,0,0,1
373,1,0,0,0,0,1,0
374,1,0,0,1,1,1,0
375,0,0,1,1,0,0,0
376,1,0,1,1,0,1,1
377,0,0,0,0,1,0,1
378,1,1,1,1,1,1,1
379,1,1,1,1,0,0,0
380,1,1,0,0,0,0,1
381,1,1,1,1,1,1,1
382,1,1,1,1,1,1,1
383,0,0,1,1,0,0,1
384,1,0,0,0,1,0,1
385,1,1,0,0,1,1,0
386,1,0,1,0,1,1,1
387,0,0,1,0,0,0,0
388,0,1,0,0,0,0,1
389,1,1,0,1,1,1,0
390,1,1,1,1,0,0,0
391,0,0,1,1,1,1,1
392,0,0,0,0,1,1,0
393,0,0,0,1,0,0,0
394,1,1,0,1,1,0,0
395,1,0,0,0,1,1,1
396,0,0,1,0,0,0,1
397,0,1,1,1,1,1,1
398,1,0,0,1,0,0,0
399,1,0,1,1,1,1,0
400,1,0,0,0,0,0,0
401,1,0,0,1,0,0,1
402,1,0,1,1,0,1,0
403,1,1,1,1,1,1,1
404,1,0,1,1,0,1,0
405,0,1,0,1,0,1,1
406,0,1,1,1,0,0,1
407,1,1,0,1,1,0,0
408,0,0,0,0,1,1,1
409,1,1,1,1,0,0,1
410,1,1,0,1,1,0,0
411,1,1,1,1,1,0,1
412,0,0,1,1,1,0,1
413,1,0,1,1,0,1,1
414,0,0,0,1,1,1,0
415,0,0,1,1,1,0,0
416,1,1,0,1,1,1,1
417,0,0,1,1,0,1,1
418,0,1,1,0,1,1,0
419,1,0,0,0,1,0,0
420,0,0,1,1,0,1,1
421,1,0,1,0,1,0,1
422,0,1,0,1,1,1,0
423,0,0,1,1,0,1,0
424,0,0,0,0,0,1,1
425,0,0,1,1,1,1,1
426,1,0,0,0,0,1,0
427,0,0,1,1,1,0,1
428,1,1,1,0,1,0,0
429,0,1,0,0,0,0,1
430,0,0,1,0,1,0,1
431,1,0,1,0,0,0,0
432,0,0,0,0,0,1,0
433,1,1,0,0,1,1,1
434,0,0,1,0,0,0,1
435,0,0,1,0,1,0,0
436,1,1,0,1,0,0,1
437,0,1,1,0,0,0,0
438,1,0,0,0,0,0,1
439,1,0,1,0,0,1,1
440,0,0,1,0,0,0,0
441,0,1,0,0,0,0,1
442,0,0,0,1,0,0,0
443,0,1,0,0,0,1,0
444,0,1,0,0,0,1,1
445,0,0,0,1,0,0,1
446,1,0,0,0,1,1,0
447,1,1,0,1,1,0,1
448,0,1,0,1,1,1,1
449,0,1,0,0,0,0,1
450,1,0,0,1,1,0,1
451,1,1,0,0,1,1,0
452,1,1,1,1,1,1,1
453,1,1,1,1,1,1,1
454,1,0,1,0,1,1,0
455,0,0,0,1,1,1,0
456,0,0,0,1,0,1,1
457,0,0,1,1,0,0,0
458,1,1,1,1,1,1,0
459,1,0,0,1,1,1,1
460,1,0,1,1,1,0,0
461,1,0,1,1,1,0,0
462,1,0,0,1,1,1,1
463,0,0,0,0,0,1,1
464,1,0,1,0,0,0,0
465,0,1,0,1,0,0,1
466,1,0,0,1,0,1,0
467,0,0,1,1,0,0,0
468,1,1,1,1,1,0,0
469,0,1,0,0,0,0,0
470,1,1,0,0,0,1,1
471,1,0,1,1,1,0,0
472,0,0,0,0,0,0,1
473,1,0,0,0,0,1,0
474,0,0,0,0,0,1,1
475,1,1,1,0,0,1,1
476,0,0,1,1,0,0,0
477,1,0,0,1,1,1,0
478,1,1,1,1,1,1,1
479,0,1,0,0,0,0,0
480,1,1,1,0,1,1,1
481,1,0,0,0,0,0,0
482,1,1,0,0,0,1,0
483,1,0,1,0,1,1,1
484,0,1,1,1,0,1,1
485,1,1,1,1,1,1,1
486,0,1,1,1,0,0,1
487,0,1,0,1,0,0,1
488,0,1,1,1,1,0,0
489,1,0,1,1,0,0,1
490,1,0,1,0,0,1,0
491,1,1,0,1,0,1,0
492,1,1,1,1,0,0,0
493,1,0,0,0,0,1,1
494,1,0,0,1,0,0,1
495,0,0,1,0,0,1,1
496,0,0,0,0,1,0,1
497,0,1,1,0,0,0,0
498,0,0,0,0,1,1,1
499,1,1,0,1,0,1,1
500,0,0,0,0,1,0,1
501,0,1,0,0,1,0,0
502,0,0,0,0,0,1,1
503,0,0,1,1,0,1,1
504,1,1,0,0,1,0,1
505,1,1,1,0,0,1,0
506,0,1,0,1,0,1,0
507,1,1,1,0,1,1,1
508,1,1,1,1,1,0,0
509,0,1,1,0,0,0,1
510,0,1,1,1,1,1,1
511,1,0,1,0,1,1,1
512,1,1,0,1,0,0,0
513,0,1,1,1,0,0,0
514,0,1,0,0,0,1,0
515,1,1,1,1,1,1,1
516,1,1,0,1,1,1,1
517,0,1,1,1,1,0,0
518,0,0,1,0,1,0,0
519,1,1,0,0,1,1,0
520,0,0,1,0,0,1,1
521,0,0,1,0,1,1,0
522,0,1,1,0,1,0,0
523,1,1,0,1,0,1,1
524,0,0,1,0,0,1,0
525,1,1,0,0,1,1,0
526,1,1,1,0,0,0,0
527,1,0,1,0,0,1,0
528,0,1,0,1,1,0,1
529,0,0,1,0,1,0,0
530,1,1,1,0,0,0,0
531,0,0,1,1,1,1,0
532,0,1,1,1,1,0,1
533,1,0,1,0,1,1,1
534,0,0,1,1,0,1,1
535,0,1,0,0,0,1,1
536,0,1,0,0,0,1,0
537,0,1,0,0,1,1,0
538,1,0,0,1,0,1,1
539,1,1,1,1,0,0,0
540,1,1,1,1,1,0,1
541,0,0,0,1,1,0,0
542,0,1,1,0,1,1,0
543,1,0,1,1,0,0,1
544,1,1,1,0,0,1,1
545,1,1,0,0,0,0,0
546,1,1,1,1,1,0,0
547,1,0,0,1,0,0,0
548,0,0,1,0,0,1,0
549,1,0,1,0,0,0,1
550,0,0,0,1,0,1,1
551,1,0,0,1,1,0,0
552,0,0,1,0,0,1,1
553,0,0,1,1,0,0,0
554,1,1,1,1,1,1,1
555,0,1,0,0,1,0,0
556,1,1,1,0,0,0,1
557,0,0,0,1,0,0,0
558,1,0,0,1,0,0,0
559,1,0,0,0,0,0,1
560,1,1,1,1,1,1,1
561,1,0,1,1,1,0,1
562,1,1,0,0,0,1,1
563,1,0,0,0,0,1,1
564,1,1,1,1,1,1,1
565,1,1,1,1,0,0,1
566,1,0,0,1,0,0,1
567,1,0,1,0,0,1,0
568,1,1,1,1,1,1,1
569,1,0,0,1,0,1,1
570,1,0,0,1,0,1,1
571,1,1,1,1,1,1,1
572,1,0,1,0,1,0,0
573,0,0,1,0,0,0,1
574,0,1,1,1,1,1,1
575,0,0,1,1,1,1,1
576,1,1,1,1,1,1,0
577,1,0,0,0,0,0,1
578,0,0,1,0,0,0,0
579,1,0,1,0,0,1,1
580,1,1,1,1,1,1,1
581,1,1,0,0,0,0,1
582,0,0,0,1,0,1,0
583,0,1,1,0,1,1,0
584,1,1,1,0,1,1,1
585,0,1,1,0,1,1,0
586,1,1,1,1,1,1,0
587,1,1,1,1,1,1,1
588,1,1,1,1,1,1,1
589,1,0,0,0,1,0,0
590,1,1,1,0,0,0,0
591,0,0,0,1,1,0,0
592,0,0,0,1,1,1,1
593,1,1,0,0,1,0,0
594,0,0,1,0,1,0,0
595,1,1,1,1,1,0,1
596,1,0,1,1,0,0,0
597,1,0,0,0,0,1,1
598,0,0,1,1,0,1,0
599,0,0,1,0,1,1,1
600,0,1,1,0,1,1,1
601,0,0,0,0,1,1,0
602,0,0,0,1,0,0,0
603,0,1,0,0,1,1,1
604,0,0,0,1,1,0,0
605,1,1,0,1,0,1,1
606,1,1,1,0,1,1,0
607,1,1,1,0,0,0,0
608,1,1,1,1,1,1,1
609,1,1,1,1,1,1,1
610,1,0,0,1,1,1,1
611,1,0,0,0,0,1,0
612,0,0,1,1,0,1,0
613,1,0,1,0,1,0,1
614,1,0,0,0,1,1,0
615,1,0,1,0,1,0,1
616,0,0,0,0,0,1,0
617,1,0,0,0,1,1,1
618,0,1,0,0,0,1,0
619,1,1,1,1,1,1,1
620,1,0,0,1,1,1,1
621,1,0,0,0,0,1,1
622,0,0,1,1,0,0,0
623,0,0,1,0,1,1,1
624,0,1,1,0,1,0,1
625,0,0,1,0,1,0,0
626,0,1,0,0,0,0,1
627,0,1,0,0,0,1,0
628,1,1,0,1,0,0,1
629,1,1,0,1,1,1,0
630,1,1,1,1,1,0,1
631,0,0,1,1,1,0,1
632,1,1,1,0,0,1,1
633,0,0,1,0,1,0,0
634,1,1,1,0,1,1,0
635,1,1,1,0,1,1,1
636,0,1,1,0,1,0,0
637,1,1,0,0,1,0,1
638,0,0,0,0,1,0,1
639,0,1,1,1,1,1,0
640,0,0,0,1,1,0,0
641,1,1,1,0,0,0,1
642,0,1,0,1,1,0,0
643,0,0,0,0,1,1,0
644,1,1,0,1,1,1,1
645,1,1,0,1,1,0,1
646,1,1,0,1,1,1,0
647,0,0,0,1,0,0,0
648,1,1,0,0,0,0,0
649,0,0,0,1,0,0,1
650,0,0,0,0,1,1,0
651,0,0,1,1,1,0,1
652,0,1,1,0,0,0,0
653,1,0,1,0,1,0,0
654,0,0,1,0,0,0,1
655,1,1,0,1,0,1,0
656,0,1,0,0,0,0,1
657,0,1,1,0,1,1,0
658,0,1,0,0,0,1,0
659,0,0,0,0,1,1,1
660,1,1,0,0,0,1,1
661,0,0,0,0,0,1,0
662,1,0,1,0,0,0,0
663,1,1,1,1,1,1,1
664,0,0,1,0,1,0,0
665,1,0,1,1,0,0,0
666,1,0,0,0,0,0,0
667,1,1,1,0,0,1,0
668,1,0,0,0,1,0,0
669,1,1,1,1,1,1,0
670,1,0,1,1,1,1,1
671,1,1,1,1,0,0,1
672,1,0,0,1,1,0,0
673,1,1,1,0,1,0,1
674,1,0,1,1,1,1,0
675,0,1,0,1,1,0,0
676,0,1,1,0,1,1,0
677,1,0,1,1,0,0,1
678,0,0,0,1,1,0,0
679,1,1,1,1,1,1,1
680,1,0,1,1,0,1,1
681,1,1,1,1,1,1,1
682,1,0,1,0,1,1,0
683,0,1,0,0,0,0,1
684,0,0,1,0,1,1,0
685,1,1,0,0,0,1,0
686,1,1,0,1,0,1,1
687,0,1,0,0,1,1,0
688,0,0,0,1,1,0,1
689,0,0,1,1,1,0,1
690,1,1,1,1,1,0,0
691,0,1,1,1,0,1,0
692,1,0,0,0,1,1,1
693,1,0,1,0,0,1,1
694,1,1,1,0,0,0,0
695,0,0,1,0,1,1,1
696,1,1,1,0,0,0,1
697,1,1,1,1,1,1,1
698,1,1,0,1,0,1,1
699,1,0,1,1,0,0,1
700,1,0,1,1,1,1,0
701,0,0,1,1,1,0,1
702,1,0,0,1,0,0,0
703,0,1,0,0,0,0,1
704,1,1,0,1,1,1,0
705,0,1,0,0,1,0,0
706,1,1,1,1,0,1,1
707,0,0,1,1,1,1,0
708,0,0,1,0,0,1,0
709,0,1,0,1,1,0,1
710,0,0,0,0,1,0,0
711,1,1,1,1,1,1,1
712,1,1,0,1,1,1,1
713,0,0,0,1,1,0,1
714,1,1,1,0,1,0,0
715,0,1,1,0,0,0,1
716,1,1,1,0,0,0,0
717,1,0,0,1,0,0,0
718,0,1,0,1,0,0,1
719,1,0,1,1,0,0,0
720,0,1,0,0,0,1,1
721,0,0,0,0,1,0,1
722,1,1,1,0,0,0,1
723,0,1,1,1,1,0,0
724,1,0,1,0,0,1,0
725,1,1,1,1,1,1,1
726,1,1,1,1,1,1,1
727,1,0,0,0,0,0,1
728,0,0,0,1,0,0,0
729,0,1,0,1,0,1,0
730,0,1,0,0,1,0,1
731,0,0,0,0,1,0,0
732,1,1,1,0,0,0,0
733,1,0,0,0,1,1,0
734,0,1,1,1,0,0,0
735,0,0,1,1,1,1,1
736,1,0,1,0,1,0,1
737,0,0,0,1,1,0,0
738,1,0,1,0,0,0,0
739,1,0,0,0,0,1,1
740,1,1,0,1,1,1,1
741,1,0,1,1,1,1,0
742,1,1,1,0,1,0,0
743,0,0,0,0,1,0,1
744,1,1,1,1,1,1,0
745,1,1,1,1,1,1,1
746,1,1,1,1,1,1,0
747,1,1,1,0,1,1,0
748,1,1,0,1,0,1,0
749,0,0,0,1,1,0,0
750,1,1,1,1,1,1,1
751,1,1,0,0,1,0,0
752,1,1,1,1,1,1,0
753,1,1,0,0,0,1,1
754,1,1,1,1,0,1,0
755,0,1,0,1,0,0,0
756,0,1,1,0,0,0,1
757,1,0,0,1,1,0,0
758,0,1,1,1,0,1,0
759,0,1,1,1,1,0,0
760,1,1,0,1,0,1,1
761,0,1,0,0,1,0,1
762,1,0,0,1,0,1,1
763,0,0,1,1,1,0,1
764,1,1,1,0,0,0,1
765,0,0,1,1,1,1,1
766,1,0,1,0,0,1,1
767,1,0,1,1,1,1,1
768,0,1,0,1,1,1,0
769,0,1,0,1,0,1,1
770,1,1,0,1,1,1,1
771,1,1,0,0,1,0,1
772,1,0,0,0,0,0,1
773,1,1,1,1,1,1,1
774,0,0,0,0,0,0,1
775,1,1,0,0,1,0,1
776,0,0,0,1,0,0,0
777,1,1,1,1,1,1,1
778,0,1,0,1,1,1,1
779,0,0,1,1,1,1,0
780,0,0,1,1,1,0,1
781,0,0,0,1,1,0,0
782,1,0,1,1,1,0,1
783,0,1,0,0,1,0,1
784,0,1,0,1,1,1,0
785,0,0,1,0,0,1,1
786,0,0,0,1,0,0,1
787,1,0,1,0,1,1,0
788,0,0,0,0,1,1,0
789,0,0,1,1,1,1,0
790,0,0,0,1,1,0,1
791,0,1,1,1,0,1,1
792,0,1,1,1,1,0,0
793,1,1,1,1,0,1,0
794,0,0,1,1,1,1,0
795,1,1,1,1,0,0,1
796,1,1,1,1,1,1,1
797,1,0,0,1,0,0,0
798,0,0,0,0,0,1,0
799,1,0,1,0,0,1,0
800,1,0,0,0,1,0,0
801,1,1,1,0,1,0,1
802,1,1,0,0,0,0,0
803,1,1,1,0,0,1,0
804,0,0,1,1,0,0,1
805,1,1,1,1,1,1,0
806,1,0,1,1,0,1,1
807,0,0,1,0,0,0,1
808,0,1,1,1,1,1,0
809,1,0,0,0,1,0,0
810,1,1,1,1,1,1,1
811,0,0,1,1,1,1,0
812,1,0,0,1,1,1,0
813,1,1,0,1,0,0,0
814,1,0,1,0,1,0,0
815,1,0,1,1,1,0,0
816,1,1,0,1,1,0,1
817,1,0,0,1,1,1,0
818,0,0,1,0,1,1,1
819,1,1,0,0,0,1,0
820,1,1,0,1,1,0,0
821,0,1,0,1,1,1,1
822,0,0,0,0,1,1,1
823,1,1,0,0,0,1,1
824,1,1,1,1,1,1,1
825,1,1,1,1,1,1,1
826,1,0,1,1,0,0,0
827,1,0,1,1,1,1,0
828,0,0,1,1,1,0,1
829,0,0,1,1,0,1,0
830,1,0,1,0,0,1,0
831,0,1,1,1,0,1,1
832,0,0,1,1,0,1,1
833,0,1,0,0,0,0,1
834,1,0,1,0,0,1,0
835,0,0,0,0,1,0,0
836,0,0,0,1,0,1,0
837,1,0,1,0,0,1,0
838,0,1,1,1,0,1,0
839,1,1,0,1,1,0,1
840,0,0,1,0,0,1,0
841,0,0,0,0,0,1,1
842,1,0,1,1,0,1,0
843,0,0,1,0,0,0,0
844,0,0,1,0,0,0,0
845,0,0,0,1,0,0,0
846,0,0,0,1,0,0,1
847,0,0,1,1,0,1,0
848,0,0,0,0,0,1,0
849,0,0,0,0,1,1,0
850,1,1,0,1,0,0,1
851,0,0,0,0,0,1,1
852,1,0,1,1,1,1,1
853,0,1,0,1,1,0,0
854,0,1,1,1,1,1,1
855,1,1,1,0,1,1,1
856,0,0,1,1,0,1,1
857,1,1,0,1,0,1,0
858,0,1,0,0,1,1,0
859,0,0,1,0,0,0,0
860,1,1,0,0,1,1,1
861,1,1,1,1,1,0,0
862,0,0,1,1,1,0,0
863,1,1,1,1,1,1,1
864,0,0,1,0,1,1,0
865,1,0,1,1,1,0,0
866,1,1,1,1,1,1,1
867,0,0,0,0,1,0,1
868,0,0,0,1,0,0,1
